disease,category,severity,specialist,description,causes,risk_factors,prevention,recovery_time,emergency_signs,contagious,self_care,diet,aliases
Hypoglycemia,Endocrinology,Moderate,Endocrinologist,Hypoglycemia is a medical condition affecting the endocrinology system requiring proper evaluation and treatment by a Endocrinologist.,"Multiple factors including genetic predisposition, infections, environmental factors, and lifestyle factors.","Weakened immune system, age, family history, chronic stress, poor diet, exposure to pathogens.","Maintain hygiene, get vaccinated where applicable, undergo regular health checkups. Consult a Endocrinologist.",Varies — consult specialist for accurate timeline.,"High persistent fever, severe chest pain, shortness of breath, sudden confusion, difficulty breathing.",Consult your doctor,Consult your doctor for personalized guidance.,"Hydration, balanced nutrient-dense diet, low sodium, avoid processed foods.","hypoglycemia, hypoglycemia"
Hypothyroidism,Endocrinology,Moderate,Endocrinologist,"An underactive thyroid gland that doesn't produce enough thyroid hormones, causing fatigue, weight gain, cold intolerance, and cognitive slowing.","Hashimoto's thyroiditis (autoimmune — most common), thyroid surgery, radiation therapy, certain medications, iodine deficiency.","Female sex, age >60, family history of thyroid disease, autoimmune disorders, previous thyroid surgery/radiation.","Adequate iodine intake, regular thyroid screening for high-risk individuals, manage autoimmune conditions.",Symptoms improve in 2-4 weeks after starting levothyroxine. Full stabilization in 6-8 weeks. Lifelong treatment needed.,"Myxedema coma (severe hypothermia, unconsciousness, slow breathing) — rare but life-threatening emergency.",No,No — requires prescription thyroid hormone replacement. Regular blood tests to monitor levels.,"Balanced nutritious diet, adequate water intake, avoid heavy/processed foods.","hypothyroidism, hypothyroidism"
Impetigo,Skin & Dermatology,Moderate,Dermatologist,Impetigo is a medical condition affecting the skin & dermatology system requiring proper evaluation and treatment by a Dermatologist.,"Multiple factors including genetic predisposition, infections, environmental factors, and lifestyle factors.","Weakened immune system, age, family history, chronic stress, poor diet, exposure to pathogens.","Maintain hygiene, get vaccinated where applicable, undergo regular health checkups. Consult a Dermatologist.",Varies — consult specialist for accurate timeline.,"High persistent fever, severe chest pain, shortness of breath, sudden confusion, difficulty breathing.",Consult your doctor,Consult your doctor for personalized guidance.,"Hydration, balanced nutrient-dense diet, low sodium, avoid processed foods.","impetigo, impetigo"
Influenza,Respiratory,Moderate,General Physician / Pulmonologist,"A contagious respiratory illness caused by influenza viruses, characterized by sudden onset of high fever, body aches, and respiratory symptoms.","Influenza A and B viruses, transmitted through respiratory droplets and contaminated surfaces.","Age >65 or <5, pregnancy, chronic diseases, immunocompromised, healthcare workers.","Annual flu vaccination, hand hygiene, respiratory etiquette, avoid crowded places during flu season.",1-2 weeks; fatigue may persist longer,"Difficulty breathing, persistent chest pain, confusion, severe vomiting, flu symptoms that improve then return with worsening cough.","Yes (airborne droplets, 5-7 days)","Yes initially — rest, fluids, OTC fever reducers. Antiviral medication (oseltamivir) within 48 hours of onset.","Balanced nutritious diet, adequate water intake, avoid heavy/processed foods.","influenza, influenza"
Insomnia,General Medicine,Moderate,General Physician,Insomnia is a medical condition affecting the general medicine system requiring proper evaluation and treatment by a General Physician.,"Multiple factors including genetic predisposition, infections, environmental factors, and lifestyle factors.","Weakened immune system, age, family history, chronic stress, poor diet, exposure to pathogens.","Maintain hygiene, get vaccinated where applicable, undergo regular health checkups. Consult a General Physician.",Varies — consult specialist for accurate timeline.,"High persistent fever, severe chest pain, shortness of breath, sudden confusion, difficulty breathing.",Consult your doctor,Consult your doctor for personalized guidance.,"Hydration, balanced nutrient-dense diet, low sodium, avoid processed foods.","insomnia, insomnia"
Interstitial Cystitis,Urology & Nephrology,Moderate,Urologist / Nephrologist,Interstitial Cystitis is a medical condition affecting the urology & nephrology system requiring proper evaluation and treatment by a Urologist / Nephrologist.,"Multiple factors including genetic predisposition, infections, environmental factors, and lifestyle factors.","Weakened immune system, age, family history, chronic stress, poor diet, exposure to pathogens.","Maintain hygiene, get vaccinated where applicable, undergo regular health checkups. Consult a Urologist / Nephrologist.",Varies — consult specialist for accurate timeline.,"High persistent fever, severe chest pain, shortness of breath, sudden confusion, difficulty breathing.",Consult your doctor,Consult your doctor for personalized guidance.,"Hydration, balanced nutrient-dense diet, low sodium, avoid processed foods.","interstitial cystitis, interstitial-cystitis"
Iron Deficiency,General Medicine,Moderate,General Physician,Iron Deficiency is a medical condition affecting the general medicine system requiring proper evaluation and treatment by a General Physician.,"Multiple factors including genetic predisposition, infections, environmental factors, and lifestyle factors.","Weakened immune system, age, family history, chronic stress, poor diet, exposure to pathogens.","Maintain hygiene, get vaccinated where applicable, undergo regular health checkups. Consult a General Physician.",Varies — consult specialist for accurate timeline.,"High persistent fever, severe chest pain, shortness of breath, sudden confusion, difficulty breathing.",Consult your doctor,Consult your doctor for personalized guidance.,"Hydration, balanced nutrient-dense diet, low sodium, avoid processed foods.","iron deficiency, iron-deficiency"
Irritable Bowel Syndrome,Gastroenterology,Moderate,Gastroenterologist,Irritable Bowel Syndrome is a medical condition affecting the gastroenterology system requiring proper evaluation and treatment by a Gastroenterologist.,"Multiple factors including genetic predisposition, infections, environmental factors, and lifestyle factors.","Weakened immune system, age, family history, chronic stress, poor diet, exposure to pathogens.","Maintain hygiene, get vaccinated where applicable, undergo regular health checkups. Consult a Gastroenterologist.",Varies — consult specialist for accurate timeline.,"High persistent fever, severe chest pain, shortness of breath, sudden confusion, difficulty breathing.",Consult your doctor,Consult your doctor for personalized guidance.,"Hydration, balanced nutrient-dense diet, low sodium, avoid processed foods.","irritable bowel syndrome, irritable-bowel-syndrome"
Jaundice,Gastroenterology,Moderate,Gastroenterologist,Jaundice is a medical condition affecting the gastroenterology system requiring proper evaluation and treatment by a Gastroenterologist.,"Multiple factors including genetic predisposition, infections, environmental factors, and lifestyle factors.","Weakened immune system, age, family history, chronic stress, poor diet, exposure to pathogens.","Maintain hygiene, get vaccinated where applicable, undergo regular health checkups. Consult a Gastroenterologist.",Varies — consult specialist for accurate timeline.,"High persistent fever, severe chest pain, shortness of breath, sudden confusion, difficulty breathing.",Consult your doctor,Consult your doctor for personalized guidance.,"Hydration, balanced nutrient-dense diet, low sodium, avoid processed foods.","jaundice, jaundice"
Kidney Stones,Urology & Nephrology,Moderate to High,Urologist / Nephrologist,"Hard mineral deposits that form in the kidneys, causing severe pain when passing through the urinary tract. One of the most painful conditions.","Supersaturation of urine with calcium, oxalate, uric acid, or other minerals. Dehydration is the most common contributing factor.","Dehydration, high-protein/sodium diet, obesity, family history, recurrent UTIs, certain medications, gout.","Drink 2-3 liters of water daily, reduce sodium intake, limit animal protein, reduce oxalate-rich foods, maintain healthy weight.","Small stones: pass in 1-6 weeks. Large stones may need lithotripsy or surgery, recovery 1-2 weeks post-procedure.","Severe pain with high fever/chills (infected stone — emergency!), inability to urinate, persistent vomiting, blood in urine with fever.",No,"Yes for small stones — hydration, pain management, strain urine. Stones >6mm or with infection need medical intervention.","Balanced nutritious diet, adequate water intake, avoid heavy/processed foods.","kidney stones, kidney-stones"
Labyrinthitis,"ENT (Ear, Nose, Throat)",Moderate,ENT Specialist (Otolaryngologist),"Labyrinthitis is a medical condition affecting the ent (ear, nose, throat) system requiring proper evaluation and treatment by a ENT Specialist (Otolaryngologist).","Multiple factors including genetic predisposition, infections, environmental factors, and lifestyle factors.","Weakened immune system, age, family history, chronic stress, poor diet, exposure to pathogens.","Maintain hygiene, get vaccinated where applicable, undergo regular health checkups. Consult a ENT Specialist (Otolaryngologist).",Varies — consult specialist for accurate timeline.,"High persistent fever, severe chest pain, shortness of breath, sudden confusion, difficulty breathing.",Consult your doctor,Consult your doctor for personalized guidance.,"Hydration, balanced nutrient-dense diet, low sodium, avoid processed foods.","labyrinthitis, labyrinthitis"
Lactose Intolerance,Gastroenterology,Moderate,Gastroenterologist,Lactose Intolerance is a medical condition affecting the gastroenterology system requiring proper evaluation and treatment by a Gastroenterologist.,"Multiple factors including genetic predisposition, infections, environmental factors, and lifestyle factors.","Weakened immune system, age, family history, chronic stress, poor diet, exposure to pathogens.","Maintain hygiene, get vaccinated where applicable, undergo regular health checkups. Consult a Gastroenterologist.",Varies — consult specialist for accurate timeline.,"High persistent fever, severe chest pain, shortness of breath, sudden confusion, difficulty breathing.",Consult your doctor,Consult your doctor for personalized guidance.,"Hydration, balanced nutrient-dense diet, low sodium, avoid processed foods.","lactose intolerance, lactose-intolerance"
Laryngitis,"ENT (Ear, Nose, Throat)",Moderate,ENT Specialist (Otolaryngologist),"Laryngitis is a medical condition affecting the ent (ear, nose, throat) system requiring proper evaluation and treatment by a ENT Specialist (Otolaryngologist).","Multiple factors including genetic predisposition, infections, environmental factors, and lifestyle factors.","Weakened immune system, age, family history, chronic stress, poor diet, exposure to pathogens.","Maintain hygiene, get vaccinated where applicable, undergo regular health checkups. Consult a ENT Specialist (Otolaryngologist).",Varies — consult specialist for accurate timeline.,"High persistent fever, severe chest pain, shortness of breath, sudden confusion, difficulty breathing.",Consult your doctor,Consult your doctor for personalized guidance.,"Hydration, balanced nutrient-dense diet, low sodium, avoid processed foods.","laryngitis, laryngitis"
Lung Abscess,Respiratory,High,Pulmonologist / Chest Specialist,Lung Abscess is a medical condition affecting the respiratory system requiring proper evaluation and treatment by a Pulmonologist / Chest Specialist.,"Multiple factors including genetic predisposition, infections, environmental factors, and lifestyle factors.","Weakened immune system, age, family history, chronic stress, poor diet, exposure to pathogens.","Maintain hygiene, get vaccinated where applicable, undergo regular health checkups. Consult a Pulmonologist / Chest Specialist.",Varies — consult specialist for accurate timeline.,"High persistent fever, severe chest pain, shortness of breath, sudden confusion, difficulty breathing.",Consult your doctor,Consult your doctor for personalized guidance.,"Hydration, balanced nutrient-dense diet, low sodium, avoid processed foods.","lung abscess, lung-abscess"
Lupus,Rheumatology & Autoimmune,High,Rheumatologist,Lupus is a medical condition affecting the rheumatology & autoimmune system requiring proper evaluation and treatment by a Rheumatologist.,"Multiple factors including genetic predisposition, infections, environmental factors, and lifestyle factors.","Weakened immune system, age, family history, chronic stress, poor diet, exposure to pathogens.","Maintain hygiene, get vaccinated where applicable, undergo regular health checkups. Consult a Rheumatologist.",Varies — consult specialist for accurate timeline.,"High persistent fever, severe chest pain, shortness of breath, sudden confusion, difficulty breathing.",Consult your doctor,Consult your doctor for personalized guidance.,"Hydration, balanced nutrient-dense diet, low sodium, avoid processed foods.","lupus, lupus"
Lyme Disease,Infectious Diseases,High,Infectious Disease Specialist,Lyme Disease is a medical condition affecting the infectious diseases system requiring proper evaluation and treatment by a Infectious Disease Specialist.,"Multiple factors including genetic predisposition, infections, environmental factors, and lifestyle factors.","Weakened immune system, age, family history, chronic stress, poor diet, exposure to pathogens.","Maintain hygiene, get vaccinated where applicable, undergo regular health checkups. Consult a Infectious Disease Specialist.",Varies — consult specialist for accurate timeline.,"High persistent fever, severe chest pain, shortness of breath, sudden confusion, difficulty breathing.",Consult your doctor,Consult your doctor for personalized guidance.,"Hydration, balanced nutrient-dense diet, low sodium, avoid processed foods.","lyme disease, lyme-disease"
Malaria,Infectious Diseases,High,Infectious Disease Specialist / General Physician,"A mosquito-borne parasitic disease causing cyclic fever, chills, sweating, and potentially fatal complications if caused by P. falciparum.","Plasmodium parasites (P. falciparum, P. vivax, P. ovale, P. malariae) transmitted through infected Anopheles mosquito bites.","Travel to endemic areas, lack of mosquito protection, no prophylaxis, pregnancy, young children, immunocompromised.","Mosquito nets, insect repellent, antimalarial prophylaxis when traveling, eliminate standing water, wear long clothing.",Uncomplicated: 2-3 days with treatment. Severe: weeks of recovery. P. vivax/ovale may relapse.,"Very high fever >104°F, confusion/altered consciousness, severe anemia, respiratory distress, jaundice, seizures, dark urine.",Not person-to-person (mosquito vector only),NO — requires immediate antimalarial drug treatment. Delay can be fatal with P. falciparum.,"Balanced nutritious diet, adequate water intake, avoid heavy/processed foods.","malaria, malaria"
Measles,Infectious Diseases,High,Infectious Disease Specialist,Measles is a medical condition affecting the infectious diseases system requiring proper evaluation and treatment by a Infectious Disease Specialist.,"Multiple factors including genetic predisposition, infections, environmental factors, and lifestyle factors.","Weakened immune system, age, family history, chronic stress, poor diet, exposure to pathogens.","Maintain hygiene, get vaccinated where applicable, undergo regular health checkups. Consult a Infectious Disease Specialist.",Varies — consult specialist for accurate timeline.,"High persistent fever, severe chest pain, shortness of breath, sudden confusion, difficulty breathing.",Consult your doctor,Consult your doctor for personalized guidance.,"Hydration, balanced nutrient-dense diet, low sodium, avoid processed foods.","measles, measles"
Melanoma,Skin & Dermatology,Moderate,Dermatologist,Melanoma is a medical condition affecting the skin & dermatology system requiring proper evaluation and treatment by a Dermatologist.,"Multiple factors including genetic predisposition, infections, environmental factors, and lifestyle factors.","Weakened immune system, age, family history, chronic stress, poor diet, exposure to pathogens.","Maintain hygiene, get vaccinated where applicable, undergo regular health checkups. Consult a Dermatologist.",Varies — consult specialist for accurate timeline.,"High persistent fever, severe chest pain, shortness of breath, sudden confusion, difficulty breathing.",Consult your doctor,Consult your doctor for personalized guidance.,"Hydration, balanced nutrient-dense diet, low sodium, avoid processed foods.","melanoma, melanoma"
Meniere Disease,"ENT (Ear, Nose, Throat)",Moderate,ENT Specialist (Otolaryngologist),"Meniere Disease is a medical condition affecting the ent (ear, nose, throat) system requiring proper evaluation and treatment by a ENT Specialist (Otolaryngologist).","Multiple factors including genetic predisposition, infections, environmental factors, and lifestyle factors.","Weakened immune system, age, family history, chronic stress, poor diet, exposure to pathogens.","Maintain hygiene, get vaccinated where applicable, undergo regular health checkups. Consult a ENT Specialist (Otolaryngologist).",Varies — consult specialist for accurate timeline.,"High persistent fever, severe chest pain, shortness of breath, sudden confusion, difficulty breathing.",Consult your doctor,Consult your doctor for personalized guidance.,"Hydration, balanced nutrient-dense diet, low sodium, avoid processed foods.","meniere disease, meniere-disease"
Meningitis,Neurological,High,Neurologist,Meningitis is a medical condition affecting the neurological system requiring proper evaluation and treatment by a Neurologist.,"Multiple factors including genetic predisposition, infections, environmental factors, and lifestyle factors.","Weakened immune system, age, family history, chronic stress, poor diet, exposure to pathogens.","Maintain hygiene, get vaccinated where applicable, undergo regular health checkups. Consult a Neurologist.",Varies — consult specialist for accurate timeline.,"High persistent fever, severe chest pain, shortness of breath, sudden confusion, difficulty breathing.",Consult your doctor,Consult your doctor for personalized guidance.,"Hydration, balanced nutrient-dense diet, low sodium, avoid processed foods.","meningitis, meningitis"
Migraine,Neurological,Moderate,Neurologist,"A neurological condition causing intense, throbbing headaches usually on one side of the head, often accompanied by nausea and sensitivity to light/sound.","Complex neurovascular disorder involving brain chemical imbalances, trigeminal nerve activation, and blood vessel changes.","Family history, female sex, hormonal changes, stress, certain foods (aged cheese, alcohol, MSG), sleep disruption.","Identify and avoid triggers, regular sleep schedule, stress management, prophylactic medications for frequent migraines.",Individual episodes: 4-72 hours. Chronic migraines require ongoing management.,"Sudden worst headache of your life, headache with fever and stiff neck, confusion, seizures, vision loss, weakness on one side.",No,"Yes for mild attacks — dark quiet room, cold compress, OTC pain relievers. Frequent migraines need prescription treatment.","Balanced nutritious diet, adequate water intake, avoid heavy/processed foods.","migraine, migraine"
Migraine with Aura,Neurological,High,Neurologist,Migraine with Aura is a medical condition affecting the neurological system requiring proper evaluation and treatment by a Neurologist.,"Multiple factors including genetic predisposition, infections, environmental factors, and lifestyle factors.","Weakened immune system, age, family history, chronic stress, poor diet, exposure to pathogens.","Maintain hygiene, get vaccinated where applicable, undergo regular health checkups. Consult a Neurologist.",Varies — consult specialist for accurate timeline.,"High persistent fever, severe chest pain, shortness of breath, sudden confusion, difficulty breathing.",Consult your doctor,Consult your doctor for personalized guidance.,"Hydration, balanced nutrient-dense diet, low sodium, avoid processed foods.","migraine with aura, migraine-with-aura"
Mononucleosis,Infectious Diseases,High,Infectious Disease Specialist,Mononucleosis is a medical condition affecting the infectious diseases system requiring proper evaluation and treatment by a Infectious Disease Specialist.,"Multiple factors including genetic predisposition, infections, environmental factors, and lifestyle factors.","Weakened immune system, age, family history, chronic stress, poor diet, exposure to pathogens.","Maintain hygiene, get vaccinated where applicable, undergo regular health checkups. Consult a Infectious Disease Specialist.",Varies — consult specialist for accurate timeline.,"High persistent fever, severe chest pain, shortness of breath, sudden confusion, difficulty breathing.",Consult your doctor,Consult your doctor for personalized guidance.,"Hydration, balanced nutrient-dense diet, low sodium, avoid processed foods.","mononucleosis, mononucleosis"
Multiple Sclerosis,Rheumatology & Autoimmune,High,Rheumatologist,Multiple Sclerosis is a medical condition affecting the rheumatology & autoimmune system requiring proper evaluation and treatment by a Rheumatologist.,"Multiple factors including genetic predisposition, infections, environmental factors, and lifestyle factors.","Weakened immune system, age, family history, chronic stress, poor diet, exposure to pathogens.","Maintain hygiene, get vaccinated where applicable, undergo regular health checkups. Consult a Rheumatologist.",Varies — consult specialist for accurate timeline.,"High persistent fever, severe chest pain, shortness of breath, sudden confusion, difficulty breathing.",Consult your doctor,Consult your doctor for personalized guidance.,"Hydration, balanced nutrient-dense diet, low sodium, avoid processed foods.","multiple sclerosis, multiple-sclerosis"
Mumps,Infectious Diseases,High,Infectious Disease Specialist,Mumps is a medical condition affecting the infectious diseases system requiring proper evaluation and treatment by a Infectious Disease Specialist.,"Multiple factors including genetic predisposition, infections, environmental factors, and lifestyle factors.","Weakened immune system, age, family history, chronic stress, poor diet, exposure to pathogens.","Maintain hygiene, get vaccinated where applicable, undergo regular health checkups. Consult a Infectious Disease Specialist.",Varies — consult specialist for accurate timeline.,"High persistent fever, severe chest pain, shortness of breath, sudden confusion, difficulty breathing.",Consult your doctor,Consult your doctor for personalized guidance.,"Hydration, balanced nutrient-dense diet, low sodium, avoid processed foods.","mumps, mumps"
Myocarditis,Cardiovascular,Critical,Cardiologist,Myocarditis is a medical condition affecting the cardiovascular system requiring proper evaluation and treatment by a Cardiologist.,"Multiple factors including genetic predisposition, infections, environmental factors, and lifestyle factors.","Weakened immune system, age, family history, chronic stress, poor diet, exposure to pathogens.","Maintain hygiene, get vaccinated where applicable, undergo regular health checkups. Consult a Cardiologist.",Varies — consult specialist for accurate timeline.,"High persistent fever, severe chest pain, shortness of breath, sudden confusion, difficulty breathing.",Consult your doctor,Consult your doctor for personalized guidance.,"Hydration, balanced nutrient-dense diet, low sodium, avoid processed foods.","myocarditis, myocarditis"
Nasal Polyps,"ENT (Ear, Nose, Throat)",Moderate,ENT Specialist (Otolaryngologist),"Nasal Polyps is a medical condition affecting the ent (ear, nose, throat) system requiring proper evaluation and treatment by a ENT Specialist (Otolaryngologist).","Multiple factors including genetic predisposition, infections, environmental factors, and lifestyle factors.","Weakened immune system, age, family history, chronic stress, poor diet, exposure to pathogens.","Maintain hygiene, get vaccinated where applicable, undergo regular health checkups. Consult a ENT Specialist (Otolaryngologist).",Varies — consult specialist for accurate timeline.,"High persistent fever, severe chest pain, shortness of breath, sudden confusion, difficulty breathing.",Consult your doctor,Consult your doctor for personalized guidance.,"Hydration, balanced nutrient-dense diet, low sodium, avoid processed foods.","nasal polyps, nasal-polyps"
Nephrotic Syndrome,Urology & Nephrology,Moderate,Urologist / Nephrologist,Nephrotic Syndrome is a medical condition affecting the urology & nephrology system requiring proper evaluation and treatment by a Urologist / Nephrologist.,"Multiple factors including genetic predisposition, infections, environmental factors, and lifestyle factors.","Weakened immune system, age, family history, chronic stress, poor diet, exposure to pathogens.","Maintain hygiene, get vaccinated where applicable, undergo regular health checkups. Consult a Urologist / Nephrologist.",Varies — consult specialist for accurate timeline.,"High persistent fever, severe chest pain, shortness of breath, sudden confusion, difficulty breathing.",Consult your doctor,Consult your doctor for personalized guidance.,"Hydration, balanced nutrient-dense diet, low sodium, avoid processed foods.","nephrotic syndrome, nephrotic-syndrome"
Norovirus,Infectious Diseases,High,Infectious Disease Specialist,Norovirus is a medical condition affecting the infectious diseases system requiring proper evaluation and treatment by a Infectious Disease Specialist.,"Multiple factors including genetic predisposition, infections, environmental factors, and lifestyle factors.","Weakened immune system, age, family history, chronic stress, poor diet, exposure to pathogens.","Maintain hygiene, get vaccinated where applicable, undergo regular health checkups. Consult a Infectious Disease Specialist.",Varies — consult specialist for accurate timeline.,"High persistent fever, severe chest pain, shortness of breath, sudden confusion, difficulty breathing.",Consult your doctor,Consult your doctor for personalized guidance.,"Hydration, balanced nutrient-dense diet, low sodium, avoid processed foods.","norovirus, norovirus"
Obstructive Sleep Apnea,Respiratory,High,Pulmonologist / Chest Specialist,Obstructive Sleep Apnea is a medical condition affecting the respiratory system requiring proper evaluation and treatment by a Pulmonologist / Chest Specialist.,"Multiple factors including genetic predisposition, infections, environmental factors, and lifestyle factors.","Weakened immune system, age, family history, chronic stress, poor diet, exposure to pathogens.","Maintain hygiene, get vaccinated where applicable, undergo regular health checkups. Consult a Pulmonologist / Chest Specialist.",Varies — consult specialist for accurate timeline.,"High persistent fever, severe chest pain, shortness of breath, sudden confusion, difficulty breathing.",Consult your doctor,Consult your doctor for personalized guidance.,"Hydration, balanced nutrient-dense diet, low sodium, avoid processed foods.","obstructive sleep apnea, obstructive-sleep-apnea"
Orbital Cellulitis,Skin & Dermatology,Moderate,Dermatologist,Orbital Cellulitis is a medical condition affecting the skin & dermatology system requiring proper evaluation and treatment by a Dermatologist.,"Multiple factors including genetic predisposition, infections, environmental factors, and lifestyle factors.","Weakened immune system, age, family history, chronic stress, poor diet, exposure to pathogens.","Maintain hygiene, get vaccinated where applicable, undergo regular health checkups. Consult a Dermatologist.",Varies — consult specialist for accurate timeline.,"High persistent fever, severe chest pain, shortness of breath, sudden confusion, difficulty breathing.",Consult your doctor,Consult your doctor for personalized guidance.,"Hydration, balanced nutrient-dense diet, low sodium, avoid processed foods.","orbital cellulitis, orbital-cellulitis"
Osteoarthristis,General Medicine,Moderate,General Physician,Osteoarthristis is a medical condition affecting the general medicine system requiring proper evaluation and treatment by a General Physician.,"Multiple factors including genetic predisposition, infections, environmental factors, and lifestyle factors.","Weakened immune system, age, family history, chronic stress, poor diet, exposure to pathogens.","Maintain hygiene, get vaccinated where applicable, undergo regular health checkups. Consult a General Physician.",Varies — consult specialist for accurate timeline.,"High persistent fever, severe chest pain, shortness of breath, sudden confusion, difficulty breathing.",Consult your doctor,Consult your doctor for personalized guidance.,"Hydration, balanced nutrient-dense diet, low sodium, avoid processed foods.","osteoarthristis, osteoarthristis"
Otitis Media,"ENT (Ear, Nose, Throat)",Moderate,ENT Specialist (Otolaryngologist),"Otitis Media is a medical condition affecting the ent (ear, nose, throat) system requiring proper evaluation and treatment by a ENT Specialist (Otolaryngologist).","Multiple factors including genetic predisposition, infections, environmental factors, and lifestyle factors.","Weakened immune system, age, family history, chronic stress, poor diet, exposure to pathogens.","Maintain hygiene, get vaccinated where applicable, undergo regular health checkups. Consult a ENT Specialist (Otolaryngologist).",Varies — consult specialist for accurate timeline.,"High persistent fever, severe chest pain, shortness of breath, sudden confusion, difficulty breathing.",Consult your doctor,Consult your doctor for personalized guidance.,"Hydration, balanced nutrient-dense diet, low sodium, avoid processed foods.","otitis media, otitis-media"
PCOS,Endocrinology,Moderate,Endocrinologist,PCOS is a medical condition affecting the endocrinology system requiring proper evaluation and treatment by a Endocrinologist.,"Multiple factors including genetic predisposition, infections, environmental factors, and lifestyle factors.","Weakened immune system, age, family history, chronic stress, poor diet, exposure to pathogens.","Maintain hygiene, get vaccinated where applicable, undergo regular health checkups. Consult a Endocrinologist.",Varies — consult specialist for accurate timeline.,"High persistent fever, severe chest pain, shortness of breath, sudden confusion, difficulty breathing.",Consult your doctor,Consult your doctor for personalized guidance.,"Hydration, balanced nutrient-dense diet, low sodium, avoid processed foods.","pcos, pcos"
Pancreatitis,Gastroenterology,Moderate,Gastroenterologist,Pancreatitis is a medical condition affecting the gastroenterology system requiring proper evaluation and treatment by a Gastroenterologist.,"Multiple factors including genetic predisposition, infections, environmental factors, and lifestyle factors.","Weakened immune system, age, family history, chronic stress, poor diet, exposure to pathogens.","Maintain hygiene, get vaccinated where applicable, undergo regular health checkups. Consult a Gastroenterologist.",Varies — consult specialist for accurate timeline.,"High persistent fever, severe chest pain, shortness of breath, sudden confusion, difficulty breathing.",Consult your doctor,Consult your doctor for personalized guidance.,"Hydration, balanced nutrient-dense diet, low sodium, avoid processed foods.","pancreatitis, pancreatitis"
Paralysis (brain hemorrhage),Neurological,High,Neurologist,Paralysis (brain hemorrhage) is a medical condition affecting the neurological system requiring proper evaluation and treatment by a Neurologist.,"Multiple factors including genetic predisposition, infections, environmental factors, and lifestyle factors.","Weakened immune system, age, family history, chronic stress, poor diet, exposure to pathogens.","Maintain hygiene, get vaccinated where applicable, undergo regular health checkups. Consult a Neurologist.",Varies — consult specialist for accurate timeline.,"High persistent fever, severe chest pain, shortness of breath, sudden confusion, difficulty breathing.",Consult your doctor,Consult your doctor for personalized guidance.,"Hydration, balanced nutrient-dense diet, low sodium, avoid processed foods.","paralysis (brain hemorrhage), paralysis-(brain-hemorrhage)"
Parkinson Disease,Neurological,High,Neurologist / Movement Disorder Specialist,"A progressive neurodegenerative disorder affecting movement, caused by loss of dopamine-producing brain cells. Characterized by tremor, rigidity, and slowness.",Loss of dopamine-producing neurons in the substantia nigra. Exact cause unknown; involves genetic and environmental factors.,"Age >60, male sex, family history, pesticide/herbicide exposure, head trauma, rural living.","No proven prevention. Regular exercise, caffeine consumption, and avoiding pesticide exposure may reduce risk.",Chronic progressive condition — no cure. Symptoms managed with medication and therapy long-term.,"Sudden inability to move (freezing episodes), severe confusion, high fever with rigidity (neuroleptic malignant syndrome), falls with head injury.",No,"Partial — exercise programs, physical therapy, support groups. Requires neurologist-prescribed medications (levodopa).","Balanced nutritious diet, adequate water intake, avoid heavy/processed foods.","parkinson disease, parkinson-disease"
Peptic ulcer diseae,Gastroenterology,Moderate,Gastroenterologist,Peptic ulcer diseae is a medical condition affecting the gastroenterology system requiring proper evaluation and treatment by a Gastroenterologist.,"Multiple factors including genetic predisposition, infections, environmental factors, and lifestyle factors.","Weakened immune system, age, family history, chronic stress, poor diet, exposure to pathogens.","Maintain hygiene, get vaccinated where applicable, undergo regular health checkups. Consult a Gastroenterologist.",Varies — consult specialist for accurate timeline.,"High persistent fever, severe chest pain, shortness of breath, sudden confusion, difficulty breathing.",Consult your doctor,Consult your doctor for personalized guidance.,"Hydration, balanced nutrient-dense diet, low sodium, avoid processed foods.","peptic ulcer diseae, peptic-ulcer-diseae"
Pericarditis,Cardiovascular,Critical,Cardiologist,Pericarditis is a medical condition affecting the cardiovascular system requiring proper evaluation and treatment by a Cardiologist.,"Multiple factors including genetic predisposition, infections, environmental factors, and lifestyle factors.","Weakened immune system, age, family history, chronic stress, poor diet, exposure to pathogens.","Maintain hygiene, get vaccinated where applicable, undergo regular health checkups. Consult a Cardiologist.",Varies — consult specialist for accurate timeline.,"High persistent fever, severe chest pain, shortness of breath, sudden confusion, difficulty breathing.",Consult your doctor,Consult your doctor for personalized guidance.,"Hydration, balanced nutrient-dense diet, low sodium, avoid processed foods.","pericarditis, pericarditis"
Peripheral Artery Disease,General Medicine,Moderate,General Physician,Peripheral Artery Disease is a medical condition affecting the general medicine system requiring proper evaluation and treatment by a General Physician.,"Multiple factors including genetic predisposition, infections, environmental factors, and lifestyle factors.","Weakened immune system, age, family history, chronic stress, poor diet, exposure to pathogens.","Maintain hygiene, get vaccinated where applicable, undergo regular health checkups. Consult a General Physician.",Varies — consult specialist for accurate timeline.,"High persistent fever, severe chest pain, shortness of breath, sudden confusion, difficulty breathing.",Consult your doctor,Consult your doctor for personalized guidance.,"Hydration, balanced nutrient-dense diet, low sodium, avoid processed foods.","peripheral artery disease, peripheral-artery-disease"
